,Unnamed: 0,faq_id,faq,query,match,score
0,0,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can change contract end date by WBS?,0.0,5.320983098577869e-10
1,1,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how can I change contract end date by WBS?,0.0,5.320983098577869e-10
2,2,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Is there a way to change the contract end date by WBS?,0.0,1.494043888605745e-09
3,3,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How to forecast PoC Contract Loss in MME?,0.0,8.71434163978585e-13
4,4,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,how can I forecast PoC Contract Loss?,0.0,1.8472917152120155e-13
5,5,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Is there a way to forecast PoC contract Loss?,0.0,1.4489628030397994e-12
6,6,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,When?user can?able to see the Jan14 revenue numbers in MME?,0.0,2.271498988903886e-09
7,7,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,when can a user be able to see the Jan 14 revenue numbers?,0.0,1.0790047327846608e-10
8,8,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Will a user be able to see the revenue numbers for Jan14?,0.0,1.0790047327846608e-10
9,9,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can download the cost transaction everything report in Local currency?,0.0,7.794615619616252e-09
10,10,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Can I download the cost transaction report in Local currency?,0.0,6.167435007142785e-09
11,11,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,How do I download the cost transaction report in Local currency?,0.0,6.167435007142785e-09
12,12,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,Best practice on SAP structures for MME success,0.0,0.0013330840738490224
13,13,1.0,Can we use MME to track work on the International Work Experience Programs (IWEP)?,what are the best practices on sap structures?,0.0,0.0027639255858957767
